SESSION; TIME;RPM;THROT;LAMB;R U SP;TAR LB;OIL P;SLIP%;INJ;L/Hr;L/100K;
9 ;0:08.70 ;8782 ;45 ;13.965 ;0.0 ;14.700 ;43.5 ;0 ;4.29 ;14.2;0.0;
9 ;0:08.80 ;8116 ;40 ;13.774 ;0.0 ;14.700 ;43.5 ;0 ;3.94 ;11.2;0.0;
9 ;0:08.90 ;8061 ;39 ;13.259 ;0.0 ;14.700 ;43.5 ;0 ;3.85 ;11.1;0.0;
9 ;0:09.00 ;7284 ;31 ;11.510 ;0.0 ;14.700 ;43.5 ;0 ;3.49 ;7.0;0.0;
9 ;0:09.10 ;7376 ;28 ;12.098 ;0.0 ;14.700 ;43.5 ;0 ;3.54 ;10.4;0.0;
9 ;0:09.20 ;7524 ;27 ;13.098 ;0.0 ;14.700 ;43.5 ;0 ;3.84 ;10.1;0.0;
9 ;0:09.30 ;7665 ;27 ;13.568 ;0.0 ;14.700 ;43.5 ;0 ;3.38 ;8.7;0.0;
9 ;0:09.40 ;7747 ;26 ;13.936 ;0.0 ;14.700 ;43.5 ;0 ;3.01 ;8.0;0.0;
9 ;0:09.50 ;7881 ;23 ;12.613 ;0.0 ;14.700 ;43.5 ;0 ;2.41 ;7.1;0.0;
9 ;0:09.60 ;8177 ;25 ;12.275 ;0.0 ;14.700 ;43.5 ;0 ;2.49 ;9.3;0.0;
9 ;0:09.70 ;8430 ;28 ;12.554 ;0.0 ;14.700 ;43.5 ;0 ;3.11 ;9.1;0.0;
9 ;0:09.80 ;8270 ;20 ;13.833 ;0.0 ;14.700 ;43.5 ;0 ;2.37 ;7.6;0.0;
9 ;0:09.90 ;8311 ;27 ;12.774 ;0.0 ;14.700 ;43.5 ;0 ;2.80 ;8.0;0.0;
9 ;0:10.00 ;7722 ;31 ;14.039 ;0.0 ;14.700 ;43.5 ;0 ;3.58 ;11.4;0.0;
9 ;0:10.10 ;7113 ;31 ;12.230 ;0.0 ;14.700 ;43.5 ;0 ;2.84 ;7.4;0.0;
9 ;0:10.20 ;6067 ;32 ;11.951 ;0.0 ;14.700 ;43.5 ;0 ;3.69 ;8.3;0.0;
9 ;0:10.30 ;5124 ;32 ;12.319 ;0.0 ;14.700 ;43.5 ;0 ;4.79 ;8.9;0.0;
9 ;0:10.40 ;4271 ;21 ;15.082 ;0.0 ;14.700 ;43.5 ;0 ;3.96 ;4.9;0.0;
9 ;0:10.50 ;4199 ;2 ;15.317 ;0.0 ;14.700 ;43.5 ;0 ;2.14 ;3.4;0.0;
9 ;0:10.60 ;4680 ;0 ;15.435 ;0.0 ;14.700 ;43.5 ;0 ;2.34 ;4.1;0.0;
9 ;0:10.70 ;4900 ;0 ;15.023 ;0.0 ;14.700 ;43.5 ;0 ;2.31 ;4.2;0.0;
9 ;0:10.80 ;5769 ;0 ;14.671 ;0.0 ;14.700 ;43.5 ;0 ;2.40 ;5.3;0.0;
9 ;0:10.90 ;6021 ;0 ;14.494 ;0.0 ;14.700 ;43.5 ;0 ;2.43 ;5.3;0.0;
9 ;0:11.00 ;6449 ;0 ;14.406 ;0.0 ;14.700 ;43.5 ;0 ;2.10 ;5.2;0.0;
9 ;0:11.10 ;6054 ;0 ;14.244 ;0.0 ;14.700 ;43.5 ;0 ;2.40 ;5.2;0.0;
9 ;0:11.20 ;6048 ;0 ;13.803 ;0.0 ;14.700 ;43.5 ;0 ;2.41 ;5.1;0.0;
9 ;0:11.30 ;6885 ;0 ;13.539 ;0.0 ;14.700 ;43.5 ;0 ;2.34 ;5.4;0.0;
9 ;0:11.40 ;6840 ;0 ;12.848 ;0.0 ;14.700 ;43.5 ;0 ;2.31 ;6.6;0.0;
9 ;0:11.50 ;6485 ;0 ;12.671 ;0.0 ;14.700 ;43.5 ;0 ;2.08 ;6.1;0.0;
9 ;0:11.60 ;6546 ;0 ;12.730 ;0.0 ;14.700 ;43.5 ;0 ;2.09 ;5.1;0.0;
9 ;0:11.70 ;6795 ;0 ;12.907 ;0.0 ;14.700 ;43.5 ;0 ;2.27 ;6.1;0.0;
9 ;0:11.80 ;7425 ;0 ;12.804 ;0.0 ;14.700 ;43.5 ;0 ;2.57 ;7.2;0.0;
9 ;0:11.90 ;8148 ;0 ;12.642 ;0.0 ;14.700 ;43.5 ;0 ;2.41 ;7.2;0.0;
9 ;0:12.00 ;8202 ;0 ;12.289 ;0.0 ;14.700 ;43.5 ;0 ;2.39 ;7.2;0.0;
9 ;0:12.10 ;8549 ;0 ;11.936 ;0.0 ;14.700 ;43.5 ;0 ;2.27 ;7.1;0.0;
9 ;0:12.20 ;8852 ;0 ;11.540 ;0.0 ;14.700 ;43.5 ;0 ;2.23 ;7.3;0.0;
9 ;0:12.30 ;8984 ;0 ;11.481 ;0.0 ;14.700 ;43.5 ;0 ;2.22 ;7.4;0.0;
9 ;0:12.40 ;9300 ;0 ;11.246 ;0.0 ;14.700 ;43.5 ;0 ;2.27 ;7.8;0.0;
9 ;0:12.50 ;9527 ;0 ;11.099 ;0.0 ;14.700 ;43.5 ;0 ;2.32 ;8.1;0.0;
9 ;0:12.60 ;9640 ;0 ;10.907 ;0.0 ;14.700 ;43.5 ;0 ;2.37 ;9.0;0.0;
9 ;0:12.70 ;9796 ;0 ;10.746 ;0.0 ;14.700 ;43.5 ;0 ;2.42 ;9.1;0.0;
9 ;0:12.80 ;10302 ;0 ;10.658 ;0.0 ;14.700 ;43.5 ;0 ;2.53 ;9.5;0.0;
9 ;0:12.90 ;10463 ;0 ;10.849 ;0.0 ;14.700 ;43.5 ;0 ;2.54 ;9.9;0.0;
9 ;0:13.00 ;10605 ;0 ;11.231 ;0.0 ;14.700 ;43.5 ;0 ;2.55 ;10.1;0.0;
9 ;0:13.10 ;10838 ;0 ;12.098 ;0.0 ;14.700 ;43.5 ;0 ;2.55 ;10.2;0.0;
9 ;0:13.20 ;11035 ;0 ;13.054 ;0.0 ;14.700 ;43.5 ;0 ;2.55 ;10.4;0.0;
9 ;0:13.30 ;11114 ;0 ;12.510 ;0.0 ;14.700 ;43.5 ;0 ;2.55 ;10.3;0.0;
9 ;0:13.40 ;10932 ;0 ;13.171 ;0.0 ;14.700 ;43.5 ;0 ;2.55 ;10.6;0.0;
9 ;0:13.50 ;11581 ;99 ;12.671 ;0.0 ;14.700 ;43.5 ;0 ;7.01 ;30.1;0.0;
9 ;0:13.60 ;11559 ;100 ;12.466 ;0.0 ;14.700 ;43.5 ;0 ;7.00 ;29.6;0.0;
9 ;0:13.70 ;11363 ;100 ;12.642 ;0.0 ;14.700 ;43.5 ;0 ;6.96 ;29.1;0.0;
9 ;0:13.80 ;11154 ;100 ;12.686 ;0.0 ;14.700 ;43.5 ;0 ;6.90 ;28.2;0.0;
9 ;0:13.90 ;11016 ;100 ;12.466 ;0.0 ;14.700 ;43.5 ;0 ;6.87 ;27.9;0.0;
9 ;0:14.00 ;10838 ;100 ;12.510 ;0.0 ;14.700 ;43.5 ;0 ;7.19 ;29.0;0.0;
9 ;0:14.10 ;10587 ;100 ;12.936 ;0.0 ;14.700 ;43.5 ;0 ;7.68 ;30.1;0.0;
9 ;0:14.20 ;10492 ;100 ;13.892 ;0.0 ;14.700 ;43.5 ;0 ;7.81 ;27.5;0.0;
9 ;0:14.30 ;10296 ;100 ;15.082 ;0.0 ;14.700 ;43.5 ;0 ;6.94 ;27.6;0.0;
9 ;0:14.40 ;9873 ;100 ;13.465 ;0.0 ;14.700 ;43.5 ;0 ;5.63 ;20.7;0.0;
9 ;0:14.50 ;11398 ;100 ;12.716 ;0.0 ;14.700 ;43.5 ;0 ;6.99 ;30.7;0.0;
9 ;0:14.60 ;10838 ;41 ;17.405 ;0.0 ;14.700 ;43.5 ;0 ;3.07 ;12.4;0.0;
9 ;0:14.70 ;11935 ;21 ;16.934 ;0.0 ;14.700 ;43.5 ;0 ;4.82 ;23.5;0.0;
9 ;0:14.80 ;11927 ;100 ;13.112 ;0.0 ;14.700 ;43.5 ;0 ;7.10 ;31.4;0.0;
9 ;0:14.90 ;11942 ;100 ;12.436 ;0.0 ;14.700 ;43.5 ;0 ;7.10 ;31.3;0.0;
9 ;0:15.00 ;11897 ;100 ;12.833 ;0.0 ;14.700 ;43.5 ;0 ;7.09 ;30.6;0.0;
9 ;0:15.10 ;11770 ;100 ;12.936 ;0.0 ;14.700 ;43.5 ;0 ;7.06 ;30.4;0.0;
9 ;0:15.20 ;11524 ;100 ;12.613 ;0.0 ;14.700 ;43.5 ;0 ;7.00 ;29.4;0.0;
9 ;0:15.30 ;11288 ;100 ;12.480 ;0.0 ;14.700 ;43.5 ;0 ;6.95 ;29.1;0.0;
